phase,RRa1,RRa2,RRa3,RRb1,RRb2,RRb3,RRc,sin,W_Uma,Algol
0.7,-0.09375,-0.10939,-0.06394,-0.13343,-0.02346,-0.06701,-0.043,-0.34549,-0.9501,-1
0.72,-0.09404,-0.10856,-0.06697,-0.12139,-0.02045,-0.04188,-0.066,-0.40631,-0.9814,-1
0.74,-0.1,-0.10637,-0.07059,-0.10635,-0.00884,-0.02999,-0.116,-0.4686,-1,-1
0.76,-0.11025,-0.09485,-0.06476,-0.08641,0,-0.01533,-0.17,-0.5314,-1,-1
0.78,-0.10416,-0.07417,-0.04,-0.05045,-0.0075,0,-0.265,-0.59369,-0.9814,-1
0.8,-0.07438,-0.04125,-0.01266,-0.02365,-0.01262,-0.00419,-0.339,-0.65451,-0.9501,-1
0.82,-0.05177,-0.0269,0,-0.00705,-0.03853,-0.01257,-0.501,-0.71289,-0.9136,-1
0.84,-0.01628,-0.00795,-0.00172,0,-0.07094,-0.06757,-0.601,-0.76791,-0.8743,-1
0.86,0,0,-0.01902,-0.04516,-0.13832,-0.20432,-0.715,-0.81871,-0.8249,-1
0.88,-0.02291,-0.03286,-0.07327,-0.1767,-0.25897,-0.36279,-0.804,-0.86448,-0.7521,-1
0.9,-0.10592,-0.13437,-0.18057,-0.38462,-0.3952,-0.50224,-0.826,-0.90451,-0.6431,-1
0.92,-0.26787,-0.30686,-0.35419,-0.57607,-0.55442,-0.64594,-0.891,-0.93815,-0.496,-0.75
0.94,-0.53158,-0.54626,-0.56592,-0.72118,-0.72953,-0.77379,-0.919,-0.96489,-0.3254,-0.5
0.96,-0.80769,-0.73771,-0.76057,-0.85758,-0.87108,-0.90348,-0.972,-0.98429,-0.162,-0.25
0.98,-0.96059,-0.90038,-0.95469,-0.94159,-0.95467,-0.96737,-0.973,-0.99606,-0.0436,0
1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
